"gastrocolic reflex"	"phản xạ dạ dày-ruột kết"
"gastrodermis"	"mầm ruột, biểu bì ruột"
"gastrointestinal hormone"	"hormon ruột kết-dạ dày"
"gastrointestinal tract"	"ống  dạ  dày  ruột"
"Gastropoda"	"lớp Chân bụng"
"Gastrotricha"	"lớp Giun bụng lông"
"gastrovascular"	"(thuộc) dạ dày- mạch máu"
"gastrovascular cavity"	"xoang dạ dày-mạch máu, xoang vị-mạch"
"gastrozooid"	"cá thể dinh dưỡng"
"gastrula"	"phôi vị"
"gastrulation"	"(sự) hình thành phôi vị"
"gas vacuole"	"túi khí"
"GAT"	"viết tắt của Glyphosate n-AcetylTransferase"
"gated transport"	"vận chuyển qua cửa, vận chuyển qua lỗ (của protein trong tế bào)"
"Gause’s principle"	"nguyên lí Gause, nguyên lí loại trừ cạnh tranh"
"Gaussian distribution"	"phân bố Gause"
"G-banding"	"(sự) hiện băng G"
"G-CSF"	"viết tắt của Granulocyte Colony Stimulating Factor"
"GDH gene"	"gen GDH (Glutamate DeHydrogenase)"
"GDNF"	"viết tắt của Glial Derived Neurotrophic Factor"
"GEAC"	"viết tắt của Uỷ ban xét duyệt kỹ thuật di truyền của ấn Độ (India's Genetic Engineering Approval Committee)"
"gel"	"gel, thể keo đặc"
"gel diffusion tests"	"thí nghiệm khuếch tán gel"
"gel electrophoresis"	"điện di trên gel"
"gel filtration"	"lọc bằng gen"
"gel retardation"	"gel chậm"
"geltonogamy"	"(tính) thụ phấn khác hoa khác gốc"
"GEM"	"dự án tăng cường chất mầm cho ngô (Germ plasm Enhancement for Maize)"
"gemma"	"chồi, mầm, lá mầm"
"gemma"	"bào tử vách dày"
"gemma"	"thể mầm dạng chén, chén mầm"
"gemmae"	"(các) chồi, mầm, lá mầm ;  bào tử vách dày"
"gemmation"	"(sự) nảy chồi, mọc chồi"
"gemmiferous"	"mang chồi"
"gemmiparous"	"mang chồi"
"gemmule"	"chồi nhỏ, chồi mầm"
"GEMP"	"viết tắt của Genetically Engineered Microbial Pesticide"
"GEMs"	"viết tắt của Genetically Engineered Microorganisms"
"gene"	"gen"
"gene activity"	"(sự) hoạt động gen"
"gene amplification"	"(sự) khuếch đại gen, nhân gen"
"gene array systems"	"hệ thống dàn gen"
"gene bank"	"ngân hàng gen"
"gene chips"	"chip gen"
"gene cloning"	"tách dòng gen"
"gene correction"	"sửa chữa gen"
"gene delivery"	"vận chuyển gen"
"gene dosage"	"liều lượng gen"
"gene expression"	"biểu hiện (của) gen"
"gene expression analysis"	"phân tích sự biểu hiện gen"
"gene expression cascade"	"bậc biểu hiện gen"
"gene expression markers"	"chỉ thị biểu hiện gen"
"gene expression profiling"	"định hình sự biểu hiện gen"
"gene expression regulation"	"điều hoà hoạt động gen"
"gene flow"	"dòng gen"
"gene frequency"	"tần số gen"
"gene function analysis"	"phân tích chức năng gen"
"gene fusion"	"dung hợp gen"
"gene imprinting"	"đánh dấu gen, in dấu gen"
"gene machine"	"bộ máy gen"
"gene manipulation"	"thao tác gen"
"gene map"	"bản đồ gen"
"gene mapping"	"lập bản đồ gen, xây dựng bản đồ gen"
"gene mutation"	"đột biến gen"
"gene number"	"số lượng gen"
"gene pool"	"vốn gen"
"gene probe"	"mẫu gen"
"gene repair"	"sửa chữa gen"
"gene replacement therapy"	"liệu pháp thay thế gen"
"gene silencing"	"bất hoạt gen"
"gene splicing"	"tách intron (khỏi) gen"
"""gene stacking"""	"xếp đặt gen"
"gene switching"	"bật tắt gen"
"gene targeting"	"nhằm đích gen"
"gene taxi"	"taxi trở gen (vectơ)"
"gene technology office"	"văn phòng công nghệ gen"
"gene technology regulator (gtr)"	"(cơ quan) điều hoà công nghệ gen"
"gene therapy"	"liệu pháp gen"
"gene transcript"	"sản phẩm phiên mã gen"
"genecology"	"sinh thái học di truyền"
"gender identity"	"(sự) giống hệt giới tính"
"gender role"	"vai trò của giới tính"
"genera"	"(các) chi"
"general paresis"	"sa sút trí tuệ đến liệt toàn bộ"
"general sexual dysfunction"	"loạn chức năng giới tính chung"
"generalist"	"sinh vật rộng sinh thái"
"generalization"	"(sự) khái quát hoá"
"generalized anxiety disorder"	"rối loạn lo lắng tổng thể"
"genealogy"	"phả hệ học"
"gene-for-gene concept"	"khái niệm gen tương ứng với gen"
"generation"	"thế hệ, đời, lứa"
"generation time"	"tuổi sinh sản, thời gian sinh, đời 1 thế hệ"
"generative cell"	"tế bào sinh sản"
"generator potential"	"điện thế phát"
"generic"	"(thuộc) chi"
"genesis"	"(sự) phát sinh, hình thành, phát triển"
"genestein"	"genestein (hoá chất do đậu tương sinh ra để chóng lại một số bệnh)"
"genet"	"cá thể di truyền, cây genet"
"genetic"	"(thuộc) phát sinh, hình thành, phát triển,  di truyền, gen"
"genetic"	"di truyền"
"genetic adaptation"	"thích nghi di truyền"
"genetic change"	"thay đổi di truyền"
"genetic code"	"mã di truyền"
"genetic correlation"	"tương quan di truyền"
"genetic counseling"	"tư vấn di truyền học"
"genetic difference"	"(sự) sai khác di truyền"
"genetic diversity"	"đa dạng di truyền"
"genetic drift"	"lạc dòng di truyền"
"genetic engineering"	"kỹ thuật thao tác gen, thao tác di truyền"
"genetic engineering approval committee"	"uỷ ban phê duyệt kỹ thuật di truyền"
"genetic equilibrium"	"cân bằng di truyền"
"genetic erosion"	"hao mòn di truyền"
"genetic event"	"sự kiện di truyền"
"genetic fingerprinting"	"xác định dấu di truyền"
"genetic information"	"thông tin di truyền"
"genetic linkage"	"liên kết di truyền"
"genetic locus"	"locut di truyền"
"genetic manipulation"	"thao tác di truyền"
"genetic manipulation advisory committee (gmac)"	"uỷ ban tư vấn thao tác di truyền"
"genetic map"	"bản đồ di truyền"
"genetic manipulation"	"thao tác di truyền"
"genetic marker"	"dấu chuẩn di truyền, chỉ thị di truyền"
"genetic material"	"vật liệu di truyền"
"genetic polymorphism"	"(hiện tượng) đa hình di truyền"
"genetic preference"	"(sự) ưa thích di truyền"
"genetic probe"	"mẫu dò di truyền"
"genetic recombination"	"tái tổ hợp di truyền"
"genetic recombination"	"tái tổ hợp di truyền"
"genetic resources"	"tài nguyên di truyền"
"genetic spiral"	"vòng xoắn di truyền"
"genetic targeting"	"nhằm đích di truyền"
"genetic transformation"	"biến nạp di truyền"
"genetic use restriction technologies (GURTS)"	"(các) công nghệ giới hạn sử dụng di truyền"
"genetic variance"	"độ biến dị di truyền"
"genetic variation"	"biến dị di truyền"
"genetically engineered microbial pesticides (GEMP)"	"chất diệt sâu vi sinh vật được thiết kế di truyền"
"genetically engineered organism"	"sinh vật được thiết kế di truyền"
"genetically manipulated organism (GMO)"	"sinh vật được thao tác di truyền"
"genetically modified crop"	"cây trồng biến đổi gen"
"genetically modified microorganism (GMM)"	"vi sinh vật được sửa đổi di truyền"
"genetically modified organism (GMO)"	"sinh vật được sửa đổi di truyền"
"genetically modified pest protected (GMPP) plants"	"thực vật chống sâu bọ chuyển gen"
"genetically significant dose"	"liều có ý nghĩa di truyền học"
"genetics"	"di truyền học"
"genial"	"(thuộc) cằm"
"genicular"	"(thuộc) đầu gối"
"geniculate"	"cong gập, gấp khúc"
"genetic informations"	"thông tin di truyền"
"geniculate ganglion"	"hạch gối"
"geniohyoglossus"	"cơ cằm-lưỡi"
"genistein"	"genistein (hoá chất do đậu tương sinh ra để chóng lại một số bệnh)"
"genistin"	"genistin (dạng đồng phân  β-glycoside của isoflavon)"
"genital atrium"	"xoang sinh dục"
"genital tubercle"	"mấu sinh dục"
"genitalia"	"bộ máy sinh dục, cơ quan sinh dục"
"genitals"	"bộ máy sinh dục, cơ quan sinh dục"
"genital stage"	"giai đoạn phát dục"
"genome"	"hệ gen"
"genomic DNA"	"AND hệ gen"
"genomic imprinting"	"đóng dấu hệ gen"
"genomic library"	"thư viện gen"
"genomic sciences"	"các khoa học về hệ gen"
"genomics"	"hệ gen học"
"genosensors"	"vật cảm biến gen, chất cảm biến gen"
"genotoxic"	"(thuộc) độc tố gen"
"genotoxic carcinogens"	"tác nhân ung thư gây độc gen"
"genotype"	"kiểu gen"
"genotypic"	"(thuộc) kiểu gen"
"genotypic change"	"thay đổi kiểu gen"
"genotypic ratio"	"tỉ lệ kiểu gen"
"genotypic sex determination"	"xác định giới tính bằng kiểu gen"
"gentechnik gesetz (gene technology law)"	"luật về công nghệ gen"
"genu"	"thể gối"
"genus"	"chi"
"genys"	"hàm dưới"
"GEO"	"viết tắt của Genetically Engineered Organisms"
"geobiotic"	"(thuộc) địa-sinh, sống trên cạn"
"geocarpy"	"(sự) ra quả dưới đất"
"geocline"	"nêm địa lý"
"geographical race"	"nòi địa lý"
"geographycal range"	"phân bố địa lý"
"geometric series"	"chuỗi cấp số nhân"
"geomicrobiology"	"vi sinh vật học đất"
"geophagous"	"ăn đất"
"geophilous"	"ưa đất, sống ở đất"
"geophyte"	"thực vật chồi ngầm, thực vật chồi dưới đất"
"geotaxis"	"(tính) vận động theo trọng lực"
"geotropic"	"(thuộc) hướng trọng lực, hướng đất"
"geotropism"	"(tính) hướng trọng lực,  hướng đất"
"GEP"	"điện di trên gel (Gel ElectroPhoresis)"
"germ"	"mầm, phôi, bào tử"
"germ band"	"dải mầm, băng mầm"
"germ cell"	"tế bào mầm"
"germ line"	"dòng mầm phôi"
"germ nucleus"	"nhân mầm, tiền nhân, nhân nguyên"
"germ plasm"	"chất mầm"
"germ pole"	"lỗ mầm"
"germ tube"	"ống mầm"
"germarium"	"buồng trứng"
"germinal cells"	"tế bào mầm"
"germinal cell determination"	"xác định tế bào mầm"
"germ aperture"	"lỗ mầm, lỗ noãn"
"germinal cells"	"tế bào mầm"
"germinal central"	"trung tâm mầm"
"germinal disk"	"đĩa mầm, đĩa phôi"
"gerontic"	"già, (thuộc) tuổi già"
"German gene law"	"luật gen của Đức"
"germinal epithelium"	"biểu mô mầm"
"germinal layers"	"lớp mầm, lá phôi"
"germinal pore"	"lỗ mầm, lỗ noãn"
"germinal vesicle"	"túi phôi, túi mầm"
"germinative layer of epidermis"	"lớp mầm biểu bì"
"germinative region of lens"	"vùng mầm thuỷ tinh thể"
"germination"	"(sự) nảy mầm"
"germ layers"	"(các) lá phôi"
"germ line"	"dòng bào tử"
"germplasm"	"chất mầm"
"gerontology"	"lão học, lão khoa"
"Gestalt"	"hình thái tổng thể"
"gestalt therapy"	"liệu pháp hình thái"
"gestation"	"(sự) có thai, chửa"
"GHRF"	"viết tắt của Growth Hormone-Releasing Factor"
"giant cells"	"tế bào khổng lồ"
"giant fibres"	"sợi khổng lồ"
"gibberella ear rot"	"(bệnh) thối tai do gibberella Gibberella zeae Gibberella zeae"
"gibberellic acid"	"axit giberelic"
"gibberellin"	"giberelin"
"gibbous"	"nổi bướu, nổi u, nổi cục"
"gibbous"	"(có) túi"
"giddiness"	"bướu"
"gigantism"	"(bệnh) khổng lồ"
"gill"	"mang"
"gill"	"vách tia, bản"
"gill arch"	"cung mang"
"gill bars"	"thanh mang"
"gill basket"	"giỏ mang, khung mang"
"gill book"	"phiến mang, sách mang"
"gill clefts"	"khe mang"
"gill cover"	"nắp mang"
"gill filament"	"tơ mang"
"gill pouch"	"túi mang"
"gill rakers"	"tấm lược mang"
"gill rods"	"que mang"
"gill slits"	"khe mang"
"ginger.beer plant"	"cây bia-gừng"
"gingival"	"(thuộc) lợi"
"ginglymoid"	"(thuộc) luống khớp"
"ginglymus"	"khớp nút chốt"
"Ginkgoales"	"bộ Bạch quả"
"girder"	"mô xà"
"girdle"	"đai"
"GIST (GastroIntestinal Stromal Tumors)"	"u chất nền dạ dày"
"gizzard"	"mề"
"glabrates"	"hói, trọc, trụi, không lông, không tóc"
"glabrates"	"nhẵn"
"glabrescent"	"hói, trọc, trụi, không lông, không tóc"
"glabrescent"	"nhẵn"
"glabrous"	"(có) bề mặt nhẵn không có lông"
"glacial cycles"	"chu kỳ băng hà"
"glacial retreat"	"(sự) thích nghi băng hà"
"gladiolus"	"mảnh ức-ngực giữa"
"gland"	"tuyến"
"gland cell"	"tế bào tuyến"
"glandlike"	"dạng tuyến"
"glandular"	"(thuộc) tuyến"
"glandular epithelium"	"biểu mô tuyến"
"glandular tissue"	"mô tuyến"
"glans"	"qủa đấu"
"glans"	"cấu trúc tuyến"
"glans penis"	"qui đầu, đầu dương vật"
"glaucescent"	"lục lam nhạt, lục lam nước biển"
"glaucous"	"lục lam nhạt, lục lam nước biển"
"glaucous"	"(có) phủ phấn"
"glc"	"viết tắt của glucoza"
"gleevactm"	"xem gleevectm"
"gleevectm"	"gleevectm (dược phẩm chữa ung thư máu)"
"gleba"	"mô tạo bào tử, mô hình thành bào tử"
"glei soil"	"đất glây"
"glenoid"	"(thuộc) ổ khớp"
"glenoid fossa"	"ổ chảo"
"gley soil"	"đất glây"
"glia"	"tế bào thần kinh đệm"
"glial derived neurotrophic factor (GDNF)"	"nhân tố hướng thần kinh từ thần kinh đệm"
"gliding"	"(sự) trượt, lướt"
"gliding growth"	"sinh trưởng trượt"
"giobold"	"hạt thể cầu"
"global stability of a community"	"tính ổn định chung của một quần xã"
"globate"	"(có) dạng cầu"
"globose nucleus"	"nhân dạng cầu"
"globular stage of plant embryo"	"giai đoạn hình thành cầu của phôi thực vật"
"globular protein"	"globulin"
"globulin"	"globulin"
"globus"	"cầu"
"glochidiate"	"(thuộc) lông móc"
"glochidium"	"lông móc"
"glomalin"	"glomalin"
"glomerate"	"(thuộc) tụ thành dạng cầu"
"glomeralar"	"(thuộc) quản cầu thận"
"glomerular filtration rate"	"tốc độ lọc tiểu cầu"
"glomerulonephritls"	"viêm thận tiểu cầu"
"glomerulus"	"tiểu cầu, tiểu cầu mạch"
"glomerulus"	"cuộn cầu"
"glomus cells"	"tế bào búi cuộn cầu"
"glossa"	"lưỡi"
"glossal"	"(thuộc) lưỡi"
"glossate"	"(thuộc) lưỡi"
"glossopharyngeal"	"(thuộc) lưỡi-hầu"
"glossopharyngeal nerve"	"thần kinh lưỡi-hầu"
"glottis"	"thanh môn"
"GLPNC"	"viết tắt của Good Laboratory Practice for NonClinical studies"
"GLP"	"viết tắt của Good Laboratory Practice"
"GLS"	"viết tắt của glucosinolates"
"glucagon"	"glucagon"
"glucan"	"glucan"
"glucocalyx"	"áo ngoại bào, đài gluco"
"glucocerebrosidase"	"glucocerebrosidaza"
"glucocorticoids"	"glucocorticoid"
"glucogenic amino acid"	"axit amin glucogenic"
"gluconeogenesis"	"(sự) hình thành glucoza trong động vật"
"glucose"	"glucoza"
"glucose isomerase"	"isomeraza glucoza"
"glucose oxidase"	"oxidaza glucoza"
"glucose-6-phosphate dehydrogenase"	"gluco-6phosphat dehydrogenaza"
"glucose-sensitive neurons"	"neuron mẫn cảm với gluco"
"glucosinolates"	"glucosinolat"
"glue genes"	"gen keo"
"glufosinate"	"glufosinat"
"glume"	"mày"
"gluphosinate"	"gluphosinat"
"glutamate"	"glutamat"
"glutamate dehydrogenase"	"dehydrogenaza glutamat"
"glutamic acid"	"axit glutamic"
"glutamic acid decarboxylase (gad)"	"decarboxylaza axit glutamic"
"glutamine"	"glutamin"
"glutamine synthetase"	"synthetaza glutamin"
"glutathione"	"glutathion"
"gluteal"	"(thuộc) mông"
"gluten"	"gluten"
"glutenin"	"glutenin"
"gluteus"	"cơ mông"
"GLV"	"viết tắt của Green Leafy Volatiles"
"gly"	"viết tắt của glycine"
"glyceraldehyde"	"glyceraldehyd"
"glycetein"	"glycetein"
"glycine"	"glycin"
"Glycine max"	"đậu tương"
"glycinin"	"glycinin"
"glycitein"	"glycitein"
"glycitin"	"glycitin"
"glycoalkaloids"	"glycoalkaloid"
"glycobiology"	"sinh học glycogen"
"glycocalyx"	"glycocalyx (cơ chất polysaccharid gắn sinh vật với nền rắn)"
"glycoform"	"dạng glycogen"
"glycogen"	"glycogen"
"glycogenolysis"	"sự tiêu glycogen"
"glycolat oxidase enzyme"	"enzym oxidaza glycolat"
"glycolipid"	"glycolipid"
"glycolysis"	"(sự) đường phân"
"glycolytic pathway"	"phương thức thuỷ phân"
"glycophorin A"	"glycophorin A"
"glycophyte"	"thực vật ưa môi trường nhạt"
"glycoprotein"	"glycoprotein"
"glycoprotein C"	"glycoprotein C"
"glycoprotein remodeling"	"mô hình hoá lại glycoprotein"
"glycosidases"	"glycosidaza"
"glycoside"	"glycosid"
"glycosinolates"	"glycosinolat"
"glycosylation"	"glyosylat hoá"
"glycosyltransferase"	"glycosyltransferaza"
"glyoxylate cycle"	"chu trình glyoxylat"
"glyoxisome"	"glyoxysom"
"glyphosate"	"glyphosat"
"glyphosate isopropylamine salt"	"muối isopropylamin glyphosat"
"glyphosate n-acetyltransferase"	"n-acetyltransferaza glyphosat"
"glyphosate oxidase"	"oxidaza glyphosat"
"glyphosate oxidoreductase"	"oxidoreductaza glyphosat"
"glyphosate-trimesium"	"glyphosat-trimesium"
"GM"	"viết tắt của Genetically Modified"
"GM crops - how to make"	"tạo ra cây trồng biến đổi gen bằng cách nào"
"GM crops - who produces"	"ai sản xuất cây trồng biến đổi gen"
"GM  crops aims"	"mục đích tạo ra các cây trồng biến đổi gen"
"GM  crops benefits"	"lợi ích của các thực vật biến đổi gen"
"GM crops countries growing"	"các nước trồng cây biến đổi gen"
"GM crops debate"	"cuộc tranh luận về sinh vật biến đổi gen"
"GM crops potential risks"	"những rủi ro tiềm ẩn của cây trồng biến đổi gen"
"GM-CSF"	"Granulocyte-Macrophage  Colony Stimulating Factor"
"Gm Fad2-1"	"gen Gm Fad2-1 (mã hoá delta 12 desaturaza ( 12)"
"GM plants for developing countries"	"cây trồng biến đổi gen đối với các nước đang phát triển"
"GMAC"	"viết tắt của Genetic Manipulation Advisory Committee"
